ID	T-18	T-12	T-6	T-0
187	0.959247	0.953348	1.043909	1.141083
188	0.972724	0.947167	1.082063	1.135856
189	0.978048	0.946938	1.113503	1.131571
190	0.976825	0.95577	1.134023	1.12984
191	0.970858	0.975641	1.143551	1.131308
192	0.962216	1.006219	1.144733	1.135641
193	0.953348	1.043909	1.141083	1.141585
194	0.947167	1.082063	1.135856	1.147036
195	0.946938	1.113503	1.131571	1.149064
196	0.95577	1.134023	1.12984	1.143951
197	0.975641	1.143551	1.131308	1.127877
198	1.006219	1.144733	1.135641	1.098864
199	1.043909	1.141083	1.141585	1.05864
200	1.082063	1.135856	1.147036	1.011819
201	1.113503	1.131571	1.149064	0.96331
202	1.134023	1.12984	1.143951	0.916753
203	1.143551	1.131308	1.127877	0.874305
204	1.144733	1.135641	1.098864	0.836896
205	1.141083	1.141585	1.05864	0.804512
206	1.135856	1.147036	1.011819	0.776436
207	1.131571	1.149064	0.96331	0.751534
208	1.12984	1.143951	0.916753	0.728576
209	1.131308	1.127877	0.874305	0.70656
210	1.135641	1.098864	0.836896	0.684977
211	1.141585	1.05864	0.804512	0.663962
212	1.147036	1.011819	0.776436	0.644406
213	1.149064	0.96331	0.751534	0.628088
214	1.143951	0.916753	0.728576	0.617878
215	1.127877	0.874305	0.70656	0.61771
216	1.098864	0.836896	0.684977	0.631718
217	1.05864	0.804512	0.663962	0.66224
218	1.011819	0.776436	0.644406	0.707827
219	0.96331	0.751534	0.628088	0.763403
220	0.916753	0.728576	0.617878	0.822717
221	0.874305	0.70656	0.61771	0.880733
222	0.836896	0.684977	0.631718	0.934421
223	0.804512	0.663962	0.66224	0.982375
224	0.776436	0.644406	0.707827	1.024152
225	0.751534	0.628088	0.763403	1.059749
226	0.728576	0.617878	0.822717	1.089332
227	0.70656	0.61771	0.880733	1.113138
228	0.684977	0.631718	0.934421	1.131508
229	0.663962	0.66224	0.982375	1.144982
230	0.644406	0.707827	1.024152	1.154432
231	0.628088	0.763403	1.059749	1.161225
232	0.617878	0.822717	1.089332	1.167342
233	0.61771	0.880733	1.113138	1.175282
234	0.631718	0.934421	1.131508	1.187468
235	0.66224	0.982375	1.144982	1.20506
236	0.707827	1.024152	1.154432	1.226526
237	0.763403	1.059749	1.161225	1.246911
238	0.822717	1.089332	1.167342	1.259125
239	0.880733	1.113138	1.175282	1.257277
240	0.934421	1.131508	1.187468	1.239406
241	0.982375	1.144982	1.20506	1.207348
242	1.024152	1.154432	1.226526	1.164834
243	1.059749	1.161225	1.246911	1.115821
244	1.089332	1.167342	1.259125	1.063672
245	1.113138	1.175282	1.257277	1.010952
246	1.131508	1.187468	1.239406	0.959472
247	1.144982	1.20506	1.207348	0.910385
248	1.154432	1.226526	1.164834	0.864242
249	1.161225	1.246911	1.115821	0.820985
250	1.167342	1.259125	1.063672	0.779964
251	1.175282	1.257277	1.010952	0.740115
252	1.187468	1.239406	0.959472	0.700438
253	1.20506	1.207348	0.910385	0.660599
254	1.226526	1.164834	0.864242	0.621265
255	1.246911	1.115821	0.820985	0.583898
256	1.259125	1.063672	0.779964	0.550347
257	1.257277	1.010952	0.740115	0.522667
258	1.239406	0.959472	0.700438	0.503238
259	1.207348	0.910385	0.660599	0.494946
260	1.164834	0.864242	0.621265	0.501046
261	1.115821	0.820985	0.583898	0.524302
262	1.063672	0.779964	0.550347	0.565378
263	1.010952	0.740115	0.522667	0.621504
264	0.959472	0.700438	0.503238	0.686918
265	0.910385	0.660599	0.494946	0.755012
266	0.864242	0.621265	0.501046	0.820335
267	0.820985	0.583898	0.524302	0.879299
268	0.779964	0.550347	0.565378	0.929865
269	0.740115	0.522667	0.621504	0.971003
270	0.700438	0.503238	0.686918	1.00237
271	0.660599	0.494946	0.755012	1.02422
272	0.621265	0.501046	0.820335	1.037373
273	0.583898	0.524302	0.879299	1.043133
274	0.550347	0.565378	0.929865	1.043191
275	0.522667	0.621504	0.971003	1.039597
276	0.503238	0.686918	1.00237	1.034784
277	0.494946	0.755012	1.02422	1.031578
278	0.501046	0.820335	1.037373	1.033042
279	0.524302	0.879299	1.043133	1.041983
280	0.565378	0.929865	1.043191	1.060104
281	0.621504	0.971003	1.039597	1.086972
282	0.686918	1.00237	1.034784	1.119072
283	0.755012	1.02422	1.031578	1.149774
284	0.820335	1.037373	1.033042	1.171483
285	0.879299	1.043133	1.041983	1.179316
286	0.929865	1.043191	1.060104	1.17299
287	0.971003	1.039597	1.086972	1.155625
288	1.00237	1.034784	1.119072	1.131513
289	1.02422	1.031578	1.149774	1.104644
290	1.037373	1.033042	1.171483	1.078137
291	1.043133	1.041983	1.179316	1.05413
292	1.043191	1.060104	1.17299	1.033776
293	1.039597	1.086972	1.155625	1.017199
294	1.034784	1.119072	1.131513	1.003429
295	1.031578	1.149774	1.104644	0.990407
296	1.033042	1.171483	1.078137	0.975208
297	1.041983	1.179316	1.05413	0.954655
298	1.060104	1.17299	1.033776	0.926452
299	1.086972	1.155625	1.017199	0.890488
300	1.119072	1.131513	1.003429	0.849187
301	1.149774	1.104644	0.990407	0.806372
302	1.171483	1.078137	0.975208	0.765817
303	1.179316	1.05413	0.954655	0.73058
304	1.17299	1.033776	0.926452	0.702968
305	1.155625	1.017199	0.890488	0.684572
306	1.131513	1.003429	0.849187	0.676166
307	1.104644	0.990407	0.806372	0.677547
308	1.078137	0.975208	0.765817	0.687539
309	1.05413	0.954655	0.73058	0.704297
310	1.033776	0.926452	0.702968	0.72584
311	1.017199	0.890488	0.684572	0.750622
312	1.003429	0.849187	0.676166	0.777979
313	0.990407	0.806372	0.677547	0.808336
314	0.975208	0.765817	0.687539	0.842969
315	0.954655	0.73058	0.704297	0.883041
316	0.926452	0.702968	0.72584	0.928037
317	0.890488	0.684572	0.750622	0.974971
318	0.849187	0.676166	0.777979	1.019681
319	0.806372	0.677547	0.808336	1.058943
320	0.765817	0.687539	0.842969	1.091446
321	0.73058	0.704297	0.883041	1.117543
322	0.702968	0.72584	0.928037	1.138606
323	0.684572	0.750622	0.974971	1.156424
324	0.676166	0.777979	1.019681	1.172754
325	0.677547	0.808336	1.058943	1.18899
326	0.687539	0.842969	1.091446	1.20598
327	0.704297	0.883041	1.117543	1.223973
328	0.72584	0.928037	1.138606	1.242683
329	0.750622	0.974971	1.156424	1.261371
330	0.777979	1.019681	1.172754	1.278809
331	0.808336	1.058943	1.18899	1.292943
332	0.842969	1.091446	1.20598	1.30036
333	0.883041	1.117543	1.223973	1.296456
334	0.928037	1.138606	1.242683	1.277559
335	0.974971	1.156424	1.261371	1.243592
336	1.019681	1.172754	1.278809	1.197928
337	1.058943	1.18899	1.292943	1.145046
338	1.091446	1.20598	1.30036	1.088749
339	1.117543	1.223973	1.296456	1.031623
340	1.138606	1.242683	1.277559	0.975157
341	1.156424	1.261371	1.243592	0.920054
342	1.172754	1.278809	1.197928	0.866547
343	1.18899	1.292943	1.145046	0.814658
344	1.20598	1.30036	1.088749	0.764392
345	1.223973	1.296456	1.031623	0.715828
346	1.242683	1.277559	0.975157	0.669151
347	1.261371	1.243592	0.920054	0.624642
348	1.278809	1.197928	0.866547	0.582708
349	1.292943	1.145046	0.814658	0.543951
350	1.30036	1.088749	0.764392	0.509305
351	1.296456	1.031623	0.715828	0.480163
352	1.277559	0.975157	0.669151	0.458506
353	1.243592	0.920054	0.624642	0.447051
354	1.197928	0.866547	0.582708	0.449216
355	1.145046	0.814658	0.543951	0.468502
356	1.088749	0.764392	0.509305	0.50693
357	1.031623	0.715828	0.480163	0.563099
358	0.975157	0.669151	0.458506	0.631571
359	0.920054	0.624642	0.447051	0.704609
360	0.866547	0.582708	0.449216	0.774921
361	0.814658	0.543951	0.468502	0.837384
362	0.764392	0.509305	0.50693	0.889288
363	0.715828	0.480163	0.563099	0.929766
364	0.669151	0.458506	0.631571	0.959106
365	0.624642	0.447051	0.704609	0.978241
366	0.582708	0.449216	0.774921	0.988442
367	0.543951	0.468502	0.837384	0.9912
368	0.509305	0.50693	0.889288	0.988202
369	0.480163	0.563099	0.929766	0.981392
370	0.458506	0.631571	0.959106	0.973058
371	0.447051	0.704609	0.978241	0.965928
372	0.449216	0.774921	0.988442	0.96313
373	0.468502	0.837384	0.9912	0.967849
374	0.50693	0.889288	0.988202	0.982576
375	0.563099	0.929766	0.981392	1.008074
376	0.631571	0.959106	0.973058	1.042321
377	0.704609	0.978241	0.965928	1.079935
378	0.774921	0.988442	0.96313	1.113439
379	0.837384	0.9912	0.967849	1.136748
380	0.889288	0.988202	0.982576	1.147916
381	0.929766	0.981392	1.008074	1.14873
382	0.959106	0.973058	1.042321	1.142705
383	0.978241	0.965928	1.079935	1.133486
384	0.988442	0.96313	1.113439	1.124112
385	0.9912	0.967849	1.136748	1.116752
386	0.988202	0.982576	1.147916	1.112616
387	0.981392	1.008074	1.14873	1.111903
388	0.973058	1.042321	1.142705	1.113786
389	0.965928	1.079935	1.133486	1.116466
390	0.96313	1.113439	1.124112	1.11724
391	0.967849	1.136748	1.116752	1.112622
392	0.982576	1.147916	1.112616	1.098818
393	1.008074	1.14873	1.111903	1.073174
394	1.042321	1.142705	1.113786	1.03614
395	1.079935	1.133486	1.116466	0.99148
396	1.113439	1.124112	1.11724	0.944132
397	1.136748	1.116752	1.112622	0.89822
398	1.147916	1.112616	1.098818	0.85646
399	1.14873	1.111903	1.073174	0.820303
400	1.142705	1.113786	1.03614	0.790173
401	1.133486	1.116466	0.99148	0.765655
402	1.124112	1.11724	0.944132	0.745706
403	1.116752	1.112622	0.89822	0.728942
404	1.112616	1.098818	0.85646	0.713997
405	1.111903	1.073174	0.820303	0.699884
406	1.113786	1.03614	0.790173	0.686282
407	1.116466	0.99148	0.765655	0.673736
408	1.11724	0.944132	0.745706	0.663819
409	1.112622	0.89822	0.728942	0.659294
410	1.098818	0.85646	0.713997	0.664047
411	1.073174	0.820303	0.699884	0.682135
412	1.03614	0.790173	0.686282	0.715607
413	0.99148	0.765655	0.673736	0.762491
414	0.944132	0.745706	0.663819	0.817333
415	0.89822	0.728942	0.659294	0.874007
416	0.85646	0.713997	0.664047	0.928031
417	0.820303	0.699884	0.682135	0.977073
418	0.790173	0.686282	0.715607	1.02038
419	0.765655	0.673736	0.762491	1.058039
420	0.745706	0.663819	0.817333	1.090451
421	0.728942	0.659294	0.874007	1.118049
422	0.713997	0.664047	0.928031	1.141205
423	0.699884	0.682135	0.977073	1.160263
424	0.686282	0.715607	1.02038	1.175654
425	0.673736	0.762491	1.058039	1.188052
426	0.663819	0.817333	1.090451	1.198557
427	0.659294	0.874007	1.118049	1.208812
428	0.664047	0.928031	1.141205	1.220834
429	0.682135	0.977073	1.160263	1.236221
430	0.715607	1.02038	1.175654	1.254661
431	0.762491	1.058039	1.188052	1.272557
432	0.817333	1.090451	1.198557	1.283467
433	0.874007	1.118049	1.208812	1.281171
434	0.928031	1.141205	1.220834	1.262967
435	0.977073	1.160263	1.236221	1.23012
436	1.02038	1.175654	1.254661	1.186073
437	1.058039	1.188052	1.272557	1.134657
438	1.090451	1.198557	1.283467	1.079193
439	1.118049	1.208812	1.281171	1.022253
440	1.141205	1.220834	1.262967	0.965705
441	1.160263	1.236221	1.23012	0.910826
442	1.175654	1.254661	1.186073	0.858398
443	1.188052	1.272557	1.134657	0.80876
444	1.198557	1.283467	1.079193	0.761825
445	1.208812	1.281171	1.022253	0.717139
446	1.220834	1.262967	0.965705	0.674096
447	1.236221	1.23012	0.910826	0.632334
448	1.254661	1.186073	0.858398	0.592115
449	1.272557	1.134657	0.80876	0.554373
450	1.283467	1.079193	0.761825	0.520499
451	1.281171	1.022253	0.717139	0.49219
452	1.262967	0.965705	0.674096	0.471559
453	1.23012	0.910826	0.632334	0.461363
454	1.186073	0.858398	0.592115	0.465056
455	1.134657	0.80876	0.554373	0.486154
456	1.079193	0.761825	0.520499	0.526508
457	1.022253	0.717139	0.49219	0.584177
458	0.965705	0.674096	0.471559	0.653034
459	0.910826	0.632334	0.461363	0.72511
460	0.858398	0.592115	0.465056	0.793575
461	0.80876	0.554373	0.486154	0.854093
462	0.761825	0.520499	0.526508	0.904565
463	0.717139	0.49219	0.584177	0.944343
464	0.674096	0.471559	0.653034	0.973608
465	0.632334	0.461363	0.72511	0.993058
466	0.592115	0.465056	0.793575	1.003779
467	0.554373	0.486154	0.854093	1.007176
468	0.520499	0.526508	0.904565	1.004929
469	0.49219	0.584177	0.944343	0.998998
470	0.471559	0.653034	0.973608	0.991701
471	0.461363	0.72511	0.993058	0.985798
472	0.465056	0.793575	1.003779	0.984446
473	0.486154	0.854093	1.007176	0.990808
474	0.526508	0.904565	1.004929	1.007191
475	0.584177	0.944343	0.998998	1.033905
476	0.653034	0.973608	0.991701	1.068191
477	0.72511	0.993058	0.985798	1.103964
478	0.793575	1.003779	0.984446	1.133634
479	0.854093	1.007176	0.990808	1.151716
480	0.904565	1.004929	1.007191	1.157033
481	0.944343	0.998998	1.033905	1.151894
482	0.973608	0.991701	1.068191	1.140069
483	0.993058	0.985798	1.103964	1.125299
484	1.003779	0.984446	1.133634	1.110632
485	1.007176	0.990808	1.151716	1.098223
486	1.004929	1.007191	1.157033	1.089257
487	0.998998	1.033905	1.151894	1.083903
488	0.991701	1.068191	1.140069	1.081265
489	0.985798	1.103964	1.125299	1.079379
490	0.984446	1.133634	1.110632	1.075301
491	0.990808	1.151716	1.098223	1.065387
492	1.007191	1.157033	1.089257	1.046139
493	1.033905	1.151894	1.083903	1.015874
494	1.068191	1.140069	1.081265	0.976161
495	1.103964	1.125299	1.079379	0.931157
496	1.133634	1.110632	1.075301	0.885473
497	1.151716	1.098223	1.065387	0.84276
498	1.157033	1.089257	1.046139	0.805441
499	1.151894	1.083903	1.015874	0.774867
