ID	t0-date	t0-hour	t1-date	t1-hour	t1-WIND_DIREC	t1-CH4	t1-NMHC	t1-CO	t1-RH	t1-WIND_SPEED	t1-WD_HR	t1-SO2	t1-THC	t1-NO	t1-WS_HR	t1-AMB_TEMP	t1-PM10	t1-O3	t1-PM2.5	t1-NOx	t1-NO2	t1-RAINFALL	t2-date	t2-hour	t2-WIND_DIREC	t2-CH4	t2-NMHC	t2-CO	t2-RH	t2-WIND_SPEED	t2-WD_HR	t2-SO2	t2-THC	t2-NO	t2-WS_HR	t2-AMB_TEMP	t2-PM10	t2-O3	t2-PM2.5	t2-NOx	t2-NO2	t2-RAINFALL	t3-date	t3-hour	t3-WIND_DIREC	t3-CH4	t3-NMHC	t3-CO	t3-RH	t3-WIND_SPEED	t3-WD_HR	t3-SO2	t3-THC	t3-NO	t3-WS_HR	t3-AMB_TEMP	t3-PM10	t3-O3	t3-PM2.5	t3-NOx	t3-NO2	t3-RAINFALL	t4-date	t4-hour	t4-WIND_DIREC	t4-CH4	t4-NMHC	t4-CO	t4-RH	t4-WIND_SPEED	t4-WD_HR	t4-SO2	t4-THC	t4-NO	t4-WS_HR	t4-AMB_TEMP	t4-PM10	t4-O3	t4-PM2.5	t4-NOx	t4-NO2	t4-RAINFALL	t5-date	t5-hour	t5-WIND_DIREC	t5-CH4	t5-NMHC	t5-CO	t5-RH	t5-WIND_SPEED	t5-WD_HR	t5-SO2	t5-THC	t5-NO	t5-WS_HR	t5-AMB_TEMP	t5-PM10	t5-O3	t5-PM2.5	t5-NOx	t5-NO2	t5-RAINFALL	t6-date	t6-hour	t6-WIND_DIREC	t6-CH4	t6-NMHC	t6-CO	t6-RH	t6-WIND_SPEED	t6-WD_HR	t6-SO2	t6-THC	t6-NO	t6-WS_HR	t6-AMB_TEMP	t6-PM10	t6-O3	t6-PM2.5	t6-NOx	t6-NO2	t6-RAINFALL	t7-date	t7-hour	t7-WIND_DIREC	t7-CH4	t7-NMHC	t7-CO	t7-RH	t7-WIND_SPEED	t7-WD_HR	t7-SO2	t7-THC	t7-NO	t7-WS_HR	t7-AMB_TEMP	t7-PM10	t7-O3	t7-PM2.5	t7-NOx	t7-NO2	t7-RAINFALL	t8-date	t8-hour	t8-WIND_DIREC	t8-CH4	t8-NMHC	t8-CO	t8-RH	t8-WIND_SPEED	t8-WD_HR	t8-SO2	t8-THC	t8-NO	t8-WS_HR	t8-AMB_TEMP	t8-PM10	t8-O3	t8-PM2.5	t8-NOx	t8-NO2	t8-RAINFALL	t9-date	t9-hour	t9-WIND_DIREC	t9-CH4	t9-NMHC	t9-CO	t9-RH	t9-WIND_SPEED	t9-WD_HR	t9-SO2	t9-THC	t9-NO	t9-WS_HR	t9-AMB_TEMP	t9-PM10	t9-O3	t9-PM2.5	t9-NOx	t9-NO2	t9-RAINFALL
10	201411	19	201411	18	119	1.8	0.18	0.56	72	2.8	118	3.4	2	2.1	2.5	17	85	33	45	21	19	0	201411	17	124	1.8	0.23	0.69	67	2.2	124	5.1	2.1	2.3	1	19	85	34	49	30	28	0	201411	16	291	1.8	0.14	0.47	56	1.4	307	9.9	1.9	2.5	1.9	21	66	51	42	25	22	0	201411	15	305	1.8	0.13	0.37	49	2.2	304	4.4	1.9	2.2	2.1	22	51	64	45	13	11	0	201411	14	313	1.8	0.1	0.37	47	2.5	307	3.9	1.9	2.5	2.1	22	52	65	36	14	11	0	201411	13	316	1.8	0.11	0.4	42	3.3	305	3.6	1.9	3	2.6	22	57	57	37	15	12	0	201411	12	290	1.8	0.12	0.41	40	2.1	297	3.5	1.9	3.4	2	22	56	50	33	17	14	0	201411	11	269	1.8	0.18	0.52	37	1.9	280	2.7	2	2.9	1.2	22	64	58	44	14	11	0	201411	10	283	1.8	0.2	0.59	45	1.6	241	4.5	2	4.2	0.8	20	56	44	41	18	14	0
11	201411	20	201411	19	118	1.8	0.12	0.45	69	3	121	2.3	1.9	1.9	2.5	16	63	34	44	13	12	0	201411	18	119	1.8	0.18	0.56	72	2.8	118	3.4	2	2.1	2.5	17	85	33	45	21	19	0	201411	17	124	1.8	0.23	0.69	67	2.2	124	5.1	2.1	2.3	1	19	85	34	49	30	28	0	201411	16	291	1.8	0.14	0.47	56	1.4	307	9.9	1.9	2.5	1.9	21	66	51	42	25	22	0	201411	15	305	1.8	0.13	0.37	49	2.2	304	4.4	1.9	2.2	2.1	22	51	64	45	13	11	0	201411	14	313	1.8	0.1	0.37	47	2.5	307	3.9	1.9	2.5	2.1	22	52	65	36	14	11	0	201411	13	316	1.8	0.11	0.4	42	3.3	305	3.6	1.9	3	2.6	22	57	57	37	15	12	0	201411	12	290	1.8	0.12	0.41	40	2.1	297	3.5	1.9	3.4	2	22	56	50	33	17	14	0	201411	11	269	1.8	0.18	0.52	37	1.9	280	2.7	2	2.9	1.2	22	64	58	44	14	11	0
12	201411	21	201411	20	114	1.8	0.1	0.38	70	2.6	113	2	1.9	1.5	2.8	15	46	37	41	9.7	8.1	0	201411	19	118	1.8	0.12	0.45	69	3	121	2.3	1.9	1.9	2.5	16	63	34	44	13	12	0	201411	18	119	1.8	0.18	0.56	72	2.8	118	3.4	2	2.1	2.5	17	85	33	45	21	19	0	201411	17	124	1.8	0.23	0.69	67	2.2	124	5.1	2.1	2.3	1	19	85	34	49	30	28	0	201411	16	291	1.8	0.14	0.47	56	1.4	307	9.9	1.9	2.5	1.9	21	66	51	42	25	22	0	201411	15	305	1.8	0.13	0.37	49	2.2	304	4.4	1.9	2.2	2.1	22	51	64	45	13	11	0	201411	14	313	1.8	0.1	0.37	47	2.5	307	3.9	1.9	2.5	2.1	22	52	65	36	14	11	0	201411	13	316	1.8	0.11	0.4	42	3.3	305	3.6	1.9	3	2.6	22	57	57	37	15	12	0	201411	12	290	1.8	0.12	0.41	40	2.1	297	3.5	1.9	3.4	2	22	56	50	33	17	14	0
13	201411	22	201411	21	108	1.8	0.09	0.35	70	2.7	112	1.9	1.9	1.6	2.6	15	36	38	30	8.6	7	0	201411	20	114	1.8	0.1	0.38	70	2.6	113	2	1.9	1.5	2.8	15	46	37	41	9.7	8.1	0	201411	19	118	1.8	0.12	0.45	69	3	121	2.3	1.9	1.9	2.5	16	63	34	44	13	12	0	201411	18	119	1.8	0.18	0.56	72	2.8	118	3.4	2	2.1	2.5	17	85	33	45	21	19	0	201411	17	124	1.8	0.23	0.69	67	2.2	124	5.1	2.1	2.3	1	19	85	34	49	30	28	0	201411	16	291	1.8	0.14	0.47	56	1.4	307	9.9	1.9	2.5	1.9	21	66	51	42	25	22	0	201411	15	305	1.8	0.13	0.37	49	2.2	304	4.4	1.9	2.2	2.1	22	51	64	45	13	11	0	201411	14	313	1.8	0.1	0.37	47	2.5	307	3.9	1.9	2.5	2.1	22	52	65	36	14	11	0	201411	13	316	1.8	0.11	0.4	42	3.3	305	3.6	1.9	3	2.6	22	57	57	37	15	12	0
14	201411	23	201411	22	102	1.8	0.1	0.36	70	2.1	106	1.9	1.9	1.8	2.4	15	42	38	24	8.7	6.9	0	201411	21	108	1.8	0.09	0.35	70	2.7	112	1.9	1.9	1.6	2.6	15	36	38	30	8.6	7	0	201411	20	114	1.8	0.1	0.38	70	2.6	113	2	1.9	1.5	2.8	15	46	37	41	9.7	8.1	0	201411	19	118	1.8	0.12	0.45	69	3	121	2.3	1.9	1.9	2.5	16	63	34	44	13	12	0	201411	18	119	1.8	0.18	0.56	72	2.8	118	3.4	2	2.1	2.5	17	85	33	45	21	19	0	201411	17	124	1.8	0.23	0.69	67	2.2	124	5.1	2.1	2.3	1	19	85	34	49	30	28	0	201411	16	291	1.8	0.14	0.47	56	1.4	307	9.9	1.9	2.5	1.9	21	66	51	42	25	22	0	201411	15	305	1.8	0.13	0.37	49	2.2	304	4.4	1.9	2.2	2.1	22	51	64	45	13	11	0	201411	14	313	1.8	0.1	0.37	47	2.5	307	3.9	1.9	2.5	2.1	22	52	65	36	14	11	0
15	201412	0	201411	23	111	1.8	0.08	0.32	69	2.1	110	1.9	1.9	1.5	2.3	15	42	36	13	7.5	6	0	201411	22	102	1.8	0.1	0.36	70	2.1	106	1.9	1.9	1.8	2.4	15	42	38	24	8.7	6.9	0	201411	21	108	1.8	0.09	0.35	70	2.7	112	1.9	1.9	1.6	2.6	15	36	38	30	8.6	7	0	201411	20	114	1.8	0.1	0.38	70	2.6	113	2	1.9	1.5	2.8	15	46	37	41	9.7	8.1	0	201411	19	118	1.8	0.12	0.45	69	3	121	2.3	1.9	1.9	2.5	16	63	34	44	13	12	0	201411	18	119	1.8	0.18	0.56	72	2.8	118	3.4	2	2.1	2.5	17	85	33	45	21	19	0	201411	17	124	1.8	0.23	0.69	67	2.2	124	5.1	2.1	2.3	1	19	85	34	49	30	28	0	201411	16	291	1.8	0.14	0.47	56	1.4	307	9.9	1.9	2.5	1.9	21	66	51	42	25	22	0	201411	15	305	1.8	0.13	0.37	49	2.2	304	4.4	1.9	2.2	2.1	22	51	64	45	13	11	0
16	201412	1	201412	0	108	1.8	0.06	0.26	65	2.4	111	1.8	1.8	1.4	2.5	16	49	39	21	5	3.7	0	201411	23	111	1.8	0.08	0.32	69	2.1	110	1.9	1.9	1.5	2.3	15	42	36	13	7.5	6	0	201411	22	102	1.8	0.1	0.36	70	2.1	106	1.9	1.9	1.8	2.4	15	42	38	24	8.7	6.9	0	201411	21	108	1.8	0.09	0.35	70	2.7	112	1.9	1.9	1.6	2.6	15	36	38	30	8.6	7	0	201411	20	114	1.8	0.1	0.38	70	2.6	113	2	1.9	1.5	2.8	15	46	37	41	9.7	8.1	0	201411	19	118	1.8	0.12	0.45	69	3	121	2.3	1.9	1.9	2.5	16	63	34	44	13	12	0	201411	18	119	1.8	0.18	0.56	72	2.8	118	3.4	2	2.1	2.5	17	85	33	45	21	19	0	201411	17	124	1.8	0.23	0.69	67	2.2	124	5.1	2.1	2.3	1	19	85	34	49	30	28	0	201411	16	291	1.8	0.14	0.47	56	1.4	307	9.9	1.9	2.5	1.9	21	66	51	42	25	22	0
17	201412	2	201412	1	113	1.8	0.05	0.25	66	2.7	117	0.8	1.8	1.1	2.4	15	34	38	23	4.3	3.2	0	201412	0	108	1.8	0.06	0.26	65	2.4	111	1.8	1.8	1.4	2.5	16	49	39	21	5	3.7	0	201411	23	111	1.8	0.08	0.32	69	2.1	110	1.9	1.9	1.5	2.3	15	42	36	13	7.5	6	0	201411	22	102	1.8	0.1	0.36	70	2.1	106	1.9	1.9	1.8	2.4	15	42	38	24	8.7	6.9	0	201411	21	108	1.8	0.09	0.35	70	2.7	112	1.9	1.9	1.6	2.6	15	36	38	30	8.6	7	0	201411	20	114	1.8	0.1	0.38	70	2.6	113	2	1.9	1.5	2.8	15	46	37	41	9.7	8.1	0	201411	19	118	1.8	0.12	0.45	69	3	121	2.3	1.9	1.9	2.5	16	63	34	44	13	12	0	201411	18	119	1.8	0.18	0.56	72	2.8	118	3.4	2	2.1	2.5	17	85	33	45	21	19	0	201411	17	124	1.8	0.23	0.69	67	2.2	124	5.1	2.1	2.3	1	19	85	34	49	30	28	0
18	201412	3	201412	2	115	1.8	0.06	0.28	70	2.9	113	0.9	1.8	1.3	2.8	15	31	39	30	4.7	3.3	0	201412	1	113	1.8	0.05	0.25	66	2.7	117	0.8	1.8	1.1	2.4	15	34	38	23	4.3	3.2	0	201412	0	108	1.8	0.06	0.26	65	2.4	111	1.8	1.8	1.4	2.5	16	49	39	21	5	3.7	0	201411	23	111	1.8	0.08	0.32	69	2.1	110	1.9	1.9	1.5	2.3	15	42	36	13	7.5	6	0	201411	22	102	1.8	0.1	0.36	70	2.1	106	1.9	1.9	1.8	2.4	15	42	38	24	8.7	6.9	0	201411	21	108	1.8	0.09	0.35	70	2.7	112	1.9	1.9	1.6	2.6	15	36	38	30	8.6	7	0	201411	20	114	1.8	0.1	0.38	70	2.6	113	2	1.9	1.5	2.8	15	46	37	41	9.7	8.1	0	201411	19	118	1.8	0.12	0.45	69	3	121	2.3	1.9	1.9	2.5	16	63	34	44	13	12	0	201411	18	119	1.8	0.18	0.56	72	2.8	118	3.4	2	2.1	2.5	17	85	33	45	21	19	0
19	201412	4	201412	3	102	1.8	0.05	0.27	71	2.3	110	0.8	1.8	1	2.7	14	16	39	30	4.1	3.1	0	201412	2	115	1.8	0.06	0.28	70	2.9	113	0.9	1.8	1.3	2.8	15	31	39	30	4.7	3.3	0	201412	1	113	1.8	0.05	0.25	66	2.7	117	0.8	1.8	1.1	2.4	15	34	38	23	4.3	3.2	0	201412	0	108	1.8	0.06	0.26	65	2.4	111	1.8	1.8	1.4	2.5	16	49	39	21	5	3.7	0	201411	23	111	1.8	0.08	0.32	69	2.1	110	1.9	1.9	1.5	2.3	15	42	36	13	7.5	6	0	201411	22	102	1.8	0.1	0.36	70	2.1	106	1.9	1.9	1.8	2.4	15	42	38	24	8.7	6.9	0	201411	21	108	1.8	0.09	0.35	70	2.7	112	1.9	1.9	1.6	2.6	15	36	38	30	8.6	7	0	201411	20	114	1.8	0.1	0.38	70	2.6	113	2	1.9	1.5	2.8	15	46	37	41	9.7	8.1	0	201411	19	118	1.8	0.12	0.45	69	3	121	2.3	1.9	1.9	2.5	16	63	34	44	13	12	0
20	201412	5	201412	4	87	1.8	0.05	0.24	70	1.5	100	0.8	1.8	1.2	2	14	18	34	22	4.3	3.1	0	201412	3	102	1.8	0.05	0.27	71	2.3	110	0.8	1.8	1	2.7	14	16	39	30	4.1	3.1	0	201412	2	115	1.8	0.06	0.28	70	2.9	113	0.9	1.8	1.3	2.8	15	31	39	30	4.7	3.3	0	201412	1	113	1.8	0.05	0.25	66	2.7	117	0.8	1.8	1.1	2.4	15	34	38	23	4.3	3.2	0	201412	0	108	1.8	0.06	0.26	65	2.4	111	1.8	1.8	1.4	2.5	16	49	39	21	5	3.7	0	201411	23	111	1.8	0.08	0.32	69	2.1	110	1.9	1.9	1.5	2.3	15	42	36	13	7.5	6	0	201411	22	102	1.8	0.1	0.36	70	2.1	106	1.9	1.9	1.8	2.4	15	42	38	24	8.7	6.9	0	201411	21	108	1.8	0.09	0.35	70	2.7	112	1.9	1.9	1.6	2.6	15	36	38	30	8.6	7	0	201411	20	114	1.8	0.1	0.38	70	2.6	113	2	1.9	1.5	2.8	15	46	37	41	9.7	8.1	0
