ID	t0-PM2.5
479	39
480	40
481	52
482	50
483	50
484	40
485	43
486	46
487	44
488	38
489	36
490	23
491	19
492	7
493	21
494	20
495	25
496	16
497	18
498	20
499	25
500	24
501	25
502	27
503	24
504	23
505	20
506	28
507	41
508	34
509	39
510	32
511	35
512	25
513	13
514	12
515	7
516	7
517	6
518	7
519	9
520	6
521	6
522	4
523	6
524	7
525	15
526	12
527	7
528	0
529	3
530	5
531	9
532	4
533	8
534	4
535	6
536	0
537	0
538	0
539	7
540	7
541	5
542	7
543	10
544	10
545	3
546	0
547	0
548	11
549	12
550	12
551	2
552	6
553	6
554	4
555	0
556	1
557	0
558	0
559	0
560	4
561	4
562	8
563	9
564	13
565	10
566	4
567	0
568	5
569	5
570	5
571	4
572	3
573	11
574	7
575	15
576	8
577	19
578	10
579	9
580	3
581	3
582	4
583	0
584	2
585	1
586	11
587	13
588	13
589	15
590	17
591	23
592	20
593	15
594	12
595	9
596	6
597	4
598	4
599	6
600	6
601	7
602	8
603	8
604	13
605	4
606	12
607	7
608	7
609	1
610	0
611	0
612	1
613	4
614	6
615	4
616	1
617	6
618	9
619	9
620	6
621	14
622	14
623	78
624	45
625	37
626	13
627	12
628	5
629	11
630	8
631	8
632	4
633	10
634	10
635	5
636	1
637	3
638	4
639	1
640	0
641	4
642	10
643	10
644	17
645	14
646	19
647	11
648	16
649	21
650	21
651	21
652	19
653	19
654	11
655	6
656	1
657	1
658	10
659	16
660	19
661	7
662	4
663	6
664	16
665	13
666	9
667	6
668	14
669	18
670	17
671	14
672	18
673	22
674	32
675	31
676	29
677	25
678	26
679	17
680	7
681	1
682	1
683	2
684	5
685	6
686	8
687	3
688	5
689	17
690	19
691	22
692	10
693	19
694	19
695	19
696	17
697	19
698	26
699	26
700	37
701	38
702	32
703	37
704	34
705	30
706	40
707	39
708	35
709	30
710	31
711	35
712	33
713	37
714	43
715	47
716	51
717	51
718	62
719	61
720	47
721	21
722	2
723	0
724	2
725	2
726	2
727	1
728	1
729	4
730	7
731	9
732	8
733	5
734	11
735	15
736	16
737	16
738	14
739	11
740	3
741	0
742	2
743	3
744	3
745	0
746	1
747	1
748	7
749	10
750	18
751	25
752	32
753	35
754	24
755	11
756	9
757	19
758	23
759	22
760	18
761	18
762	13
763	13
764	21
765	24
766	26
767	19
768	20
769	20
770	22
771	26
772	29
773	37
774	37
775	39
776	38
777	41
778	47
779	52
780	56
781	60
782	60
783	59
784	49
785	32
786	24
787	21
788	34
789	28
790	19
791	9
792	3
793	2
794	1
795	5
796	5
797	6
798	7
799	7
800	9
801	3
802	3
803	2
804	4
805	5
806	4
807	10
808	18
809	17
810	17
811	9
812	13
813	5
814	9
815	2
816	4
817	0
818	0
819	0
820	6
821	8
822	14
823	16
824	16
825	24
826	20
827	24
828	29
829	41
830	32
831	23
832	10
833	6
834	1
835	0
836	1
837	4
838	7
839	10
840	8
841	5
842	0
843	0
844	0
845	0
846	0
847	0
848	0
849	13
850	15
851	21
852	15
853	18
854	19
855	20
856	24
857	17
858	21
859	21
860	29
861	23
862	21
863	20
864	18
865	26
866	20
867	21
868	9
869	8
870	18
871	28
872	37
873	21
874	9
875	2
876	6
877	11
878	18
879	18
880	12
881	2
882	0
883	0
884	0
885	4
886	4
887	6
888	1
889	1
890	0
891	0
892	0
893	0
894	0
895	0
896	1
897	9
898	15
899	13
900	8
901	6
902	11
903	14
904	19
905	14
906	10
907	6
908	10
909	9
910	4
911	4
912	7
913	7
914	4
915	1
916	14
917	24
918	31
919	31
920	31
921	33
922	36
923	51
924	70
925	86
926	86
927	74
928	70
929	77
930	85
931	78
932	68
933	62
934	63
935	64
936	61
937	57
938	43
939	34
940	26
941	26
942	36
943	53
944	54
945	59
946	61
947	69
948	66
949	66
950	73
951	71
952	60
953	44
954	45
955	44
956	49
957	46
958	46
959	37
960	28
961	32
962	42
963	42
964	49
965	57
966	80
967	93
968	75
969	54
970	28
971	31
972	47
973	69
974	97
975	98
976	94
977	85
978	68
979	49
980	16
981	6
982	5
983	18
984	19
985	14
986	7
987	7
988	13
989	7
990	5
991	3
992	4
993	7
994	6
995	6
996	3
997	1
998	0
999	0
1000	0
1001	5
1002	10
1003	10
1004	8
1005	7
1006	19
1007	23
1008	34
1009	34
1010	41
1011	39
1012	40
1013	48
1014	47
1015	44
1016	34
1017	40
1018	42
1019	48
1020	39
1021	37
1022	28
1023	36
1024	41
1025	36
1026	24
1027	19
1028	34
1029	36
1030	37
1031	37
1032	40
1033	47
1034	48
1035	62
1036	72
1037	76
1038	78
1039	70
1040	62
1041	49
1042	47
1043	52
1044	62
1045	59
1046	59
1047	61
1048	68
1049	69
1050	57
1051	49
1052	45
1053	6
1054	0
1055	16
1056	18
1057	24
1058	21
1059	20
1060	16
1061	17
1062	21
1063	27
1064	22
1065	22
1066	14
1067	15
1068	17
1069	16
1070	11
1071	3
1072	0
1073	0
1074	1
1075	1
1076	1
1077	0
1078	8
1079	15
1080	26
1081	24
1082	29
1083	33
1084	38
1085	41
1086	36
1087	41
1088	33
1089	37
1090	31
1091	39
1092	50
1093	45
1094	29
1095	4
1096	0
1097	13
1098	24
1099	28
1100	27
1101	28
1102	37
1103	37
1104	42
1105	38
1106	49
1107	54
1108	66
1109	68
1110	56
1111	46
1112	32
1113	36
1114	33
1115	22
1116	9
1117	3
1118	8
1119	20
1120	19
1121	23
1122	16
1123	19
1124	19
1125	23
1126	18
1127	14
1128	6
1129	21
1130	28
1131	39
1132	30
1133	31
1134	39
1135	52
1136	49
1137	33
1138	24
1139	24
1140	29
1141	36
1142	39
1143	41
1144	41
1145	40
1146	42
1147	46
1148	54
1149	59
1150	57
1151	60
1152	64
1153	66
1154	58
1155	44
1156	35
1157	36
1158	37
1159	45
1160	44
1161	47
1162	42
1163	41
1164	41
1165	38
1166	31
1167	22
1168	21
1169	19
1170	16
1171	22
1172	29
1173	41
1174	49
1175	61
1176	72
1177	71
1178	72
1179	62
1180	68
1181	61
1182	57
1183	48
1184	54
1185	61
1186	62
1187	58
1188	57
1189	57
1190	60
1191	57
1192	52
1193	54
1194	53
1195	51
1196	45
1197	35
1198	21
1199	6
1200	0
1201	5
1202	14
1203	16
1204	14
1205	4
1206	8
1207	14
1208	16
1209	14
1210	11
1211	11
1212	15
1213	9
1214	13
1215	6
1216	9
1217	8
1218	7
1219	8
1220	13
1221	13
1222	0
1223	16
1224	19
1225	30
1226	35
1227	24
1228	21
1229	17
1230	26
1231	24
1232	25
1233	26
1234	21
1235	16
1236	16
1237	19
1238	12
1239	12
1240	9
1241	20
1242	23
1243	27
1244	28
1245	35
1246	50
1247	52
1248	39
1249	22
1250	26
1251	26
1252	44
1253	39
1254	38
1255	28
1256	24
1257	27
1258	26
1259	19
1260	13
1261	16
1262	23
1263	27
1264	19
1265	17
1266	16
1267	14
1268	12
1269	12
1270	21
1271	23
1272	25
1273	21
1274	28
1275	17
1276	21
1277	23
1278	27
1279	19
1280	10
1281	14
1282	19
1283	26
1284	27
1285	28
1286	29
1287	30
1288	31
1289	35
1290	43
1291	54
1292	54
1293	59
1294	68
1295	70
1296	67
1297	55
1298	46
1299	39
1300	39
1301	39
1302	41
1303	32
1304	34
1305	34
1306	39
1307	33
1308	29
1309	31
1310	30
1311	29
1312	24
1313	24
1314	27
1315	33
1316	40
1317	43
1318	37
1319	37
1320	32
1321	31
1322	25
1323	33
1324	36
1325	41
1326	37
1327	31
1328	32
1329	29
1330	23
1331	25
1332	26
1333	39
1334	39
1335	37
1336	36
1337	29
1338	34
1339	33
1340	36
1341	34
1342	26
1343	23
1344	21
1345	30
1346	25
1347	31
1348	27
1349	31
1350	19
1351	16
1352	12
1353	22
1354	24
1355	39
1356	37
1357	42
1358	26
1359	22
1360	11
1361	14
1362	11
1363	19
1364	21
1365	24
1366	14
1367	9
1368	2
1369	6
1370	9
1371	20
1372	25
1373	29
1374	25
1375	22
1376	16
1377	10
1378	15
1379	22
1380	22
1381	19
1382	15
1383	24
1384	29
1385	34
1386	33
1387	34
1388	35
1389	41
1390	42
1391	50
1392	55
1393	56
1394	55
1395	0
1396	48
1397	45
1398	35
1399	38
1400	48
1401	44
1402	32
1403	17
1404	29
1405	29
1406	36
1407	32
1408	41
1409	36
1410	33
1411	28
1412	22
1413	18
1414	10
1415	13
1416	8
1417	10
1418	4
1419	5
1420	9
1421	9
1422	9
1423	9
1424	9
1425	4
1426	0
1427	0
1428	11
1429	11
1430	19
1431	22
1432	28
1433	31
1434	34
1435	36
1436	25
1437	12
1438	4
1439	6
1440	11
1441	18
1442	21
1443	10
1444	9
1445	8
1446	14
1447	13
1448	13
1449	7
1450	2
1451	2
1452	7
1453	13
1454	26
1455	46
1456	60
1457	57
1458	51
1459	42
1460	36
1461	32
1462	23
1463	28
1464	20
1465	24
1466	19
1467	21
1468	20
1469	12
1470	3
1471	7
1472	7
1473	10
1474	12
1475	12
1476	10
1477	8
1478	20
1479	38
1480	36
1481	33
1482	24
1483	19
1484	25
1485	26
1486	38
1487	29
1488	30
1489	16
1490	14
1491	11
1492	14
1493	10
1494	4
1495	4
1496	11
1497	11
1498	5
1499	0
1500	0
1501	0
1502	0
1503	0
1504	0
1505	1
1506	3
1507	3
1508	5
1509	4
1510	7
1511	2
1512	2
1513	2
1514	2
1515	2
1516	0
1517	0
1518	0
1519	4
1520	7
1521	14
1522	8
1523	5
1524	0
1525	0
1526	7
1527	16
1528	15
1529	9
1530	3
1531	14
1532	13
1533	10
1534	0
1535	0
1536	0
1537	9
1538	9
1539	9
1540	0
1541	0
1542	0
1543	0
1544	0
1545	0
1546	0
1547	0
1548	0
1549	0
1550	0
1551	2
1552	9
1553	9
1554	15
1555	15
1556	9
1557	19
1558	17
1559	24
1560	19
1561	21
1562	14
1563	10
1564	3
1565	9
1566	15
1567	23
1568	17
1569	11
1570	9
1571	8
1572	6
1573	0
1574	11
1575	18
1576	25
1577	20
1578	23
1579	23
1580	17
1581	18
1582	14
1583	16
1584	14
1585	9
1586	6
1587	5
1588	6
1589	5
1590	0
1591	0
1592	9
1593	33
1594	39
1595	44
1596	34
1597	39
1598	31
1599	16
1600	24
1601	32
1602	57
1603	59
1604	57
1605	39
1606	27
1607	26
1608	38
1609	42
1610	44
1611	39
1612	39
1613	34
1614	20
1615	9
1616	1
1617	9
1618	9
1619	14
1620	6
1621	3
1622	0
1623	6
1624	17
1625	34
1626	35
1627	31
1628	17
1629	19
1630	14
1631	12
1632	4
1633	9
1634	11
1635	9
1636	2
1637	0
1638	0
1639	2
1640	11
1641	13
1642	9
1643	2
1644	0
1645	0
1646	0
1647	6
1648	10
1649	10
1650	9
1651	7
1652	19
1653	27
1654	37
1655	26
1656	12
1657	9
1658	17
1659	17
1660	8
1661	0
1662	0
1663	0
1664	9
1665	7
1666	9
1667	0
1668	0
1669	3
1670	3
1671	3
1672	0
1673	8
1674	16
1675	23
1676	16
1677	11
1678	6
1679	8
1680	6
1681	8
1682	9
1683	8
1684	9
1685	6
1686	6
1687	1
1688	4
1689	4
1690	1
1691	0
1692	0
1693	0
1694	0
1695	4
1696	7
1697	7
1698	4
1699	5
1700	14
1701	14
1702	7
1703	0
1704	6
1705	6
1706	6
1707	0
1708	0
1709	2
1710	9
1711	8
1712	6
1713	0
1714	6
1715	15
1716	16
1717	16
1718	10
1719	11
1720	14
1721	14
1722	13
1723	5
1724	2
1725	4
1726	1
1727	7
1728	5
1729	6
1730	6
1731	16
1732	21
1733	18
1734	4
1735	4
1736	4
1737	0
1738	5
1739	6
1740	6
1741	0
1742	5
1743	5
1744	8
1745	2
1746	2
1747	0
1748	6
1749	6
1750	5
1751	0
1752	0
1753	0
1754	0
1755	25
1756	33
1757	36
1758	37
1759	32
1760	37
1761	37
1762	38
1763	37
1764	41
1765	35
1766	32
1767	27
1768	32
1769	34
1770	34
1771	23
1772	11
1773	7
1774	10
1775	17
1776	12
1777	10
1778	6
1779	13
1780	17
1781	22
1782	24
1783	20
1784	13
1785	11
1786	13
1787	20
1788	15
1789	14
1790	10
1791	11
1792	6
1793	6
1794	5
1795	9
1796	7
1797	6
1798	1
1799	1
1800	10
1801	11
1802	12
1803	2
1804	1
1805	0
1806	0
1807	6
1808	14
1809	15
1810	9
1811	1
1812	0
1813	4
1814	6
1815	15
1816	13
1817	16
1818	9
1819	6
1820	1
1821	0
1822	1
1823	4
1824	11
1825	14
1826	14
1827	14
1828	12
1829	18
1830	23
1831	32
1832	39
1833	37
1834	33
1835	29
1836	29
1837	31
1838	29
1839	31
1840	34
1841	33
1842	27
1843	13
1844	5
1845	0
1846	3
1847	7
1848	9
1849	12
1850	11
1851	15
1852	23
1853	22
1854	23
1855	11
1856	11
1857	11
1858	11
1859	3
1860	8
1861	15
1862	20
1863	22
1864	14
1865	11
1866	4
1867	6
1868	7
1869	13
1870	12
1871	16
1872	12
1873	10
1874	2
1875	3
1876	9
1877	17
1878	13
1879	12
1880	15
1881	27
1882	31
1883	22
1884	14
1885	14
1886	16
1887	15
1888	13
1889	14
1890	11
1891	5
1892	0
1893	0
1894	0
1895	0
1896	0
1897	0
1898	2
1899	4
1900	6
1901	4
1902	6
1903	11
1904	18
1905	19
1906	12
1907	4
1908	0
1909	4
1910	6
1911	9
1912	13
1913	15
1914	17
1915	12
1916	11
1917	6
1918	3
1919	0
1920	3
1921	3
1922	2
1923	0
1924	0
1925	10
1926	17
1927	23
1928	12
1929	12
1930	12
1931	16
1932	8
1933	8
1934	10
1935	18
1936	17
1937	16
1938	8
1939	3
1940	6
1941	7
1942	7
1943	0
1944	0
1945	0
1946	0
1947	8
1948	11
1949	16
1950	7
1951	5
1952	4
1953	7
1954	10
1955	12
1956	11
1957	14
1958	11
1959	14
1960	13
1961	19
1962	12
1963	13
1964	6
1965	6
1966	4
1967	9
1968	13
1969	9
1970	6
1971	4
1972	11
1973	10
1974	14
1975	9
1976	11
1977	10
1978	15
1979	10
1980	10
1981	3
1982	3
1983	2
1984	2
1985	2
1986	0
1987	0
1988	0
1989	10
1990	10
1991	10
1992	1
1993	9
1994	11
1995	9
1996	1
1997	9
1998	16
1999	16
2000	6
2001	4
2002	5
2003	11
2004	8
2005	6
2006	11
2007	9
2008	12
2009	1
2010	1
2011	0
2012	0
2013	0
2014	0
2015	5
2016	4
2017	6
2018	4
2019	4
2020	14
2021	14
2022	16
2023	21
2024	11
2025	25
2026	36
2027	37
2028	32
2029	32
2030	33
2031	27
2032	21
2033	32
2034	34
2035	29
2036	24
2037	20
2038	25
2039	21
2040	27
2041	31
2042	28
2043	25
2044	33
2045	39
2046	39
2047	27
2048	35
2049	45
2050	62
2051	56
2052	44
2053	31
2054	20
2055	21
2056	9
2057	14
2058	6
2059	15
2060	9
2061	8
2062	0
2063	0
2064	0
2065	0
2066	0
2067	7
2068	29
2069	42
2070	54
2071	57
2072	56
2073	45
2074	25
2075	26
2076	24
2077	25
2078	18
2079	19
2080	15
2081	16
2082	14
2083	26
2084	24
2085	32
2086	34
2087	35
2088	35
2089	37
2090	50
2091	42
2092	34
2093	25
2094	22
2095	22
2096	14
2097	11
2098	7
2099	9
2100	17
2101	20
2102	16
2103	9
2104	1
2105	5
2106	41
2107	40
2108	46
2109	34
2110	45
2111	30
2112	9
2113	24
2114	23
2115	19
2116	1
2117	6
2118	18
2119	16
2120	24
2121	25
2122	28
2123	17
2124	6
2125	10
2126	20
2127	25
2128	21
2129	10
2130	15
2131	38
2132	43
2133	62
2134	62
2135	56
2136	39
2137	26
2138	49
2139	49
2140	84
2141	53
2142	112
2143	69
2144	80
2145	18
2146	49
2147	70
2148	76
2149	25
2150	7
2151	7
2152	7
2153	15
2154	20
2155	30
2156	30
2157	29
2158	27
2159	26
2160	27
2161	27
2162	20
2163	13
2164	37
2165	63
2166	42
2167	26
2168	29
2169	29
2170	41
2171	22
2172	30
2173	36
2174	37
2175	31
2176	29
2177	41
2178	50
2179	43
2180	36
2181	41
2182	58
2183	58
2184	54
2185	58
2186	46
2187	36
2188	28
2189	29
2190	25
2191	12
2192	6
2193	7
2194	8
2195	15
2196	26
2197	31
2198	53
2199	51
2200	64
2201	30
2202	28
2203	26
2204	30
2205	37
2206	53
2207	67
2208	63
2209	63
2210	63
2211	21
2212	9
2213	17
2214	15
2215	22
2216	15
2217	22
2218	15
2219	17
2220	6
2221	13
2222	13
2223	24
2224	25
2225	26
2226	23
2227	30
2228	41
2229	51
2230	48
2231	37
2232	26
2233	32
2234	31
2235	30
2236	23
2237	24
2238	29
2239	32
2240	40
2241	37
2242	32
2243	17
2244	24
2245	15
2246	21
2247	14
2248	20
2249	22
2250	20
2251	28
2252	20
2253	23
2254	23
2255	29
2256	29
2257	15
2258	14
2259	7
2260	16
2261	14
2262	13
2263	4
2264	7
2265	11
2266	12
2267	7
2268	0
2269	0
2270	0
2271	4
2272	4
2273	7
2274	4
2275	13
2276	12
2277	20
2278	0
2279	0
2280	27
2281	22
2282	17
2283	21
2284	21
2285	14
2286	14
2287	14
2288	14
2289	18
2290	15
2291	14
2292	16
2293	20
2294	18
2295	25
2296	17
2297	21
2298	22
2299	20
2300	24
2301	28
2302	41
2303	47
2304	44
2305	41
2306	51
2307	51
2308	57
2309	36
2310	23
2311	18
2312	16
2313	29
2314	17
2315	22
2316	10
2317	10
2318	9
2319	7
2320	16
2321	10
2322	9
2323	9
2324	15
2325	17
2326	12
2327	9
2328	14
2329	16
2330	16
2331	19
2332	19
2333	22
2334	17
2335	11
2336	5
2337	9
2338	10
2339	12
2340	4
2341	2
2342	3
2343	3
2344	8
2345	5
2346	14
2347	17
2348	21
2349	17
2350	14
2351	20
2352	16
2353	22
2354	13
2355	14
2356	13
2357	13
2358	16
2359	5
2360	5
2361	2
2362	5
2363	4
2364	3
2365	4
2366	9
2367	13
2368	11
2369	13
2370	6
2371	16
2372	11
2373	23
2374	14
2375	22
2376	19
2377	20
2378	14
2379	9
2380	13
2381	16
2382	19
2383	22
2384	17
2385	9
2386	0
2387	3
2388	3
2389	10
2390	11
2391	18
2392	11
2393	11
2394	8
2395	11
2396	16
2397	23
2398	25
2399	17
2400	11
2401	6
2402	7
2403	9
2404	12
2405	14
2406	11
2407	16
2408	11
2409	14
2410	7
2411	7
2412	5
2413	3
2414	3
2415	6
2416	6
2417	12
2418	7
2419	18
2420	21
2421	21
2422	34
2423	27
2424	21
2425	15
2426	13
2427	11
2428	9
2429	15
2430	20
2431	18
2432	16
2433	19
2434	13
2435	12
2436	13
2437	15
2438	13
2439	9
2440	7
2441	21
2442	21
2443	36
2444	22
2445	22
2446	16
2447	14
2448	12
2449	6
2450	11
2451	15
2452	12
2453	13
2454	13
2455	21
2456	18
2457	20
2458	17
2459	25
2460	21
2461	29
2462	31
2463	26
2464	33
2465	38
2466	38
2467	32
2468	28
2469	33
2470	29
2471	25
2472	22
2473	20
2474	19
2475	21
2476	20
2477	18
2478	12
2479	15
2480	13
2481	18
2482	27
2483	30
2484	44
2485	48
2486	65
2487	50
2488	38
2489	10
2490	15
2491	15
2492	15
2493	13
2494	12
2495	22
2496	27
2497	23
2498	20
2499	12
2500	21
2501	18
2502	20
2503	22
2504	20
2505	24
2506	12
2507	21
2508	16
2509	22
2510	15
2511	22
2512	16
2513	23
2514	22
2515	19
2516	7
2517	0
2518	2
2519	5
2520	7
2521	3
2522	1
2523	0
2524	2
2525	3
2526	3
2527	2
2528	3
2529	12
2530	12
2531	19
2532	21
2533	27
2534	22
2535	15
2536	21
2537	17
2538	13
2539	9
2540	14
2541	19
2542	10
2543	10
2544	17
2545	17
2546	13
2547	2
2548	6
2549	12
2550	22
2551	19
2552	14
2553	6
2554	16
2555	11
2556	12
2557	0
2558	6
2559	11
2560	15
2561	14
2562	7
2563	5
2564	4
2565	2
2566	6
2567	4
2568	11
2569	9
2570	13
2571	12
2572	16
2573	13
2574	6
2575	11
2576	9
2577	11
2578	1
2579	10
2580	7
2581	20
2582	16
2583	27
2584	30
2585	38
2586	37
2587	29
2588	27
2589	19
2590	22
2591	22
2592	23
2593	25
2594	21
2595	27
2596	22
2597	27
2598	19
2599	22
2600	21
2601	33
2602	28
2603	28
2604	34
2605	37
2606	35
2607	35
2608	22
2609	13
2610	15
2611	11
2612	22
2613	17
2614	15
2615	5
2616	8
2617	6
2618	11
2619	4
2620	4
2621	6
2622	10
2623	10
2624	6
2625	3
2626	5
2627	2
2628	8
2629	14
2630	21
2631	22
2632	26
2633	26
2634	25
2635	16
2636	13
2637	6
2638	3
2639	4
2640	6
2641	6
2642	5
2643	5
2644	9
2645	5
2646	7
2647	4
2648	7
2649	13
2650	13
2651	20
2652	17
2653	22
2654	24
2655	23
2656	16
2657	6
2658	7
2659	7
2660	11
2661	8
2662	8
2663	6
2664	4
2665	11
2666	9
2667	13
2668	8
2669	5
2670	10
2671	8
2672	8
2673	3
2674	4
2675	6
2676	9
2677	8
2678	7
2679	0
2680	3
2681	7
2682	10
2683	9
2684	7
2685	4
2686	11
2687	11
2688	11
2689	2
2690	7
2691	7
2692	10
2693	12
2694	16
2695	13
2696	7
2697	8
2698	11
2699	11
2700	11
2701	16
2702	11
2703	7
2704	3
2705	3
2706	4
2707	1
2708	2
2709	0
2710	0
2711	3
2712	5
2713	6
2714	2
2715	6
2716	4
2717	5
2718	4
2719	4
2720	6
2721	1
2722	9
2723	14
2724	22
2725	17
2726	12
2727	7
2728	9
2729	15
2730	31
2731	35
2732	37
2733	20
2734	10
2735	4
2736	2
2737	6
2738	5
2739	7
2740	2
2741	5
2742	5
2743	5
2744	2
2745	1
2746	1
2747	1
2748	1
2749	1
2750	2
2751	14
2752	12
2753	13
2754	8
2755	9
2756	9
2757	3
2758	15
2759	11
2760	20
2761	10
2762	12
2763	7
2764	7
2765	5
2766	4
2767	2
2768	4
2769	7
2770	6
2771	11
2772	6
2773	9
2774	6
2775	13
2776	11
2777	13
2778	6
2779	10
2780	4
2781	5
2782	2
2783	2
2784	10
2785	8
2786	14
2787	10
2788	19
2789	16
2790	18
2791	13
2792	11
2793	6
2794	15
2795	12
2796	18
2797	11
2798	23
2799	25
2800	21
2801	20
2802	19
2803	16
2804	19
2805	18
2806	27
2807	15
2808	10
2809	10
2810	7
2811	12
2812	7
2813	11
2814	10
2815	21
2816	25
2817	22
2818	18
2819	20
2820	25
2821	25
2822	16
2823	14
2824	11
2825	10
2826	18
2827	35
2828	32
2829	28
2830	14
2831	24
2832	27
2833	30
2834	37
2835	37
2836	34
2837	28
2838	16
2839	16
2840	16
2841	15
2842	11
2843	19
2844	20
2845	19
2846	20
2847	16
2848	27
2849	18
2850	16
2851	8
2852	8
2853	12
2854	20
2855	18
2856	21
2857	15
2858	23
2859	22
2860	26
2861	22
2862	27
2863	20
2864	17
2865	13
2866	13
2867	12
2868	10
2869	7
2870	9
2871	12
2872	9
2873	11
2874	10
2875	13
2876	14
2877	7
2878	6
2879	11
2880	18
2881	27
2882	25
2883	27
2884	20
2885	27
2886	29
2887	32
2888	29
2889	29
2890	29
2891	24
2892	29
2893	29
2894	31
2895	20
2896	20
2897	16
2898	22
2899	18
2900	26
2901	14
2902	12
2903	11
2904	15
2905	33
2906	36
2907	50
2908	35
2909	34
2910	24
2911	25
2912	12
2913	12
2914	10
2915	16
2916	18
2917	18
2918	22
2919	25
2920	26
2921	20
2922	16
2923	17
2924	18
2925	10
2926	13
2927	22
2928	28
2929	31
2930	34
2931	43
2932	51
2933	44
2934	39
2935	19
2936	21
2937	20
2938	22
2939	21
2940	14
2941	20
2942	20
2943	20
2944	21
2945	22
2946	34
2947	25
2948	22
2949	13
2950	16
2951	18
2952	22
2953	27
2954	20
2955	16
2956	11
2957	22
2958	25
2959	33
2960	30
2961	36
2962	39
2963	37
2964	28
2965	24
2966	24
2967	29
2968	28
2969	20
2970	13
2971	8
2972	8
2973	3
2974	7
2975	22
2976	34
2977	27
2978	20
2979	18
2980	20
2981	13
2982	7
2983	11
2984	13
2985	10
2986	11
2987	18
2988	16
2989	18
2990	11
2991	19
2992	18
2993	16
2994	11
